index,tweets,emoji_sentence,follows?
42790,[USER] Nt getting a hint....Bt im liking it ,😎,1
36238,[USER] [USER] i- sincerely apologise and take that back ,🤭,1
95828,will y max ,🥺,0
76939,[USER] Why you lyin! ,🙏,0
30382,5 more hours left of my 12 ,🙃,1
32357,[USER] [USER] [USER] [USER] [USER] [USER] It's right up there with buhphawpolis and harumphsburg ,😉,1
91626,[USER] Can’t decide so here are 7 lol All For Love - Tungevaag / RaabanBetter Off Without You - Becky Hill Sweet Lovin’ - Sigala Over You - Hogland Good When We’re Together - Kav Verhouzer Sunday Morning (Jaded Remix) - Matoma One Day Left - Lova,😭❤,0
42828,[USER] U should start an onlyfans at this point ,🤣,1
20003,I heard lesbians were going extinct so I started putting a small potluck on the porch every morning. In a few years I hope I'll be seeing more lesbian nests around the yard ,😊,1
99134,I just want to be in Miami already ,🤗,0
84194,[USER] ⠀⠀⠀⠀⠀╱︎  inchresting  request sent!,🤡,0
81857,"And what is Gary Owen’s wife talking bout? I really don’t care about any of this, but when y’all repost it, I sit here and read it. ",😂,0
19971,[USER] You just look like my  girl,💩,1
89612,[USER] Just finally finished watching this. Amazing! Absolutely loved seeing all of you together ,🖊🍍🍎🖊,0
16807,Getting to photograph a wedding two weekends in a row at The Barn at Sleepy Hollow and I can't say that I'm sad about it ,😍,1
102406,the post said bitches be like my man wouldn't dare do that whole time he a dare devil ,😂,0
64151,And we haven’t gone anywhere.  If you need to talk we are here. 0800 862 0110 or DM.  We’ll get back to you very quickly.,💙,0
28487,[USER] [USER] Looks like he's about to Bob on your knob.  I'd pay to see it ,😘,1
54724,[USER] Yesss  being cold sux,🦙🦁🦕🐹🐨🐈🐯🦊🌐,0
82581,[USER] Like fry me? ,🤫,0
20518,It’s me being able to be my true self around him. Challlllll only my friends understand why this is such a big deal ,😂,1
72719,Today was so beautiful out ,🙁,0
62205,[USER] So you know about the  then? ,😻,0
95546,my teacher just made me read a freaking one chapter of a book and it has 3 pages i cant ,🤷♂,0
