tweet,emoji_sentence,label
i just got employee of the month for the third time this year , 👎,0
Have a great day , 💞🥰😘😘 ,1
proud to be pinay~ , 🙂❤🇵🇭,1
she really said that i'm not worthy , 😜  🕵,0
murder mystery shows really get me in my bag. i avoid them for this reason , 🦍🦍,0
"best pizza in new york is hands down new park in howard beach, no place else compares ",  🍕,1
I hate my job! I want to quit! , 🤬,1
guess who can handle her drinks? me mf! , 🎭,0
It’s not nice to ghost people. , 👻🙅🏻‍♀️,1
"love how natasha posted & saluted both the dances to her song on ig, tagged them & everything ", 👨‍🦯🧜,0
"I caught the green thumb, starting my own vegetable garden ", 🥕🥦🍅🌽🍆,1
Love you & happiest bday! may people forever ask if we’re dating!! , 👾 👾 👾,0
so island vacay or nah , 🏝️ 🌴,1
oh man I’ve been craving sushi all week , 🍣,1
tacos tonight for dinner? , 🥗  🍪,0
I am so honored to announce that I have joined the Board of @farmtopantry. ,  👞 👟 🥾 🥿 👠 👡 🩰 👢 ,0
how many drinks does one need to have at mood ring before the music sounds good? , 🎶🥴,1
do you wanna go out to eat today , 🍕 🍜  🌯,1
fire signs stay hyping me up , 🔥,1
Are you mad at me! , 😭,1
happy new year!!!! , 🎉🎊✨,1
where did you park the car , 🚋 ,0
"On the right, the very best Chicken Nuggets imaginable; on the left, the most insanely spicy wings that were the spiciest thing I’ve eaten in a long time ", 🐀 🐿🦾,0
do you know when the bus gets here , 🚏,1
Did you do the homework due today? , 🍒,0
Becca is the worst , ☺️,0
$23 million is a lot of money , 🧊🙎🧊,0
you think my boss will believe me when I say the train was delayed , 🚙🏍,0
the camping spot is gorgeous , 🏢  🚖,0
Cause in this moment I just feel so alive. , 🙄⚰️,0
I totally missed your text — sorry , 😞,1
I am so MAD AT YOU!!! , 😡,1
can’t wait to drive my new car , ☄️💺,0
"My cup empty, who tryna bring me another? ", 🍶,1
I want to be a doctor someday , 👩‍⚕️,1
i know how to bake approximately eight different kinds of breads , ☘🥀,0
"Today was not a good day for me, I just want to go to sleep and forget all about it ", 😊,0
Running 5 minutes late! Sorry , 😖,1
Did you do the homework due today? , 🇨🇳,0
I love visiting Ecuador  , 🇨🇦,0
"you gotta hit up TSA for your travel needs, but also maybe just stay home ", 💤💦,0
Happy birthday , 🎂 💐 🎁 🎈 🎉,1
it’s the freakin weekend baby , 🍻,1
you ever seen a water goddess , 👓 🕶 🥽 🥼,0
lol she ran the light , 🚦 🙅 ,1
i'm scared and it has nothing to do with the spider's nest in my top drawer , ☺☺,0
Do you smoke bro? , 🚬,1
This woman’s been playing catch with wild dolphins since she was a little girl , 🐬,1
"Just a few days more, hang in there everyone. Let's do our best ", 👍,1
This chick is really well spoken , 🦹‍♂️ 🤶 🧑‍🎄,0
make sure to take your daily vitamins , 💊,1
Is there a good place to get coffee? , ☕️,1
The place by my house makes the best dumplings , 😋,1
I’m so excited for my delivery of fresh Asian produce! , 🥬📦,1
modern architecture is cool and all. you ever heard of brutalism though? , 🧂🧂,0
today’s lecture was really confusing ,  🤔,1
I want a pineapple , 🤭,0
Soooo… that e-mail… was interesting , 📝 📧,1
Too many things on my screen , 👨‍💻️ ,1
I had a great day! , 🤬,0
cheers to the weekend , 🍻🍺,1
You are now set up in our payroll system! , 🤑,1
