index,tweets,emoji_sentence,follows?
6704,"good morning [USER] you woke up so early  anyway i'm happy for you. if it's true, congrats ",😶😊💚,1
10651,MVP  4x Scoring champ  3x All NBA FIRST TEAM 3x Steals leader ,✅✅✅✅,1
6345,[USER] Your tears baby boy ...Sleep sad ,🌚🌚👌,1
5268,15 php ---&gt; Follow [USER] ---&gt; RT &amp; Like their ---&gt; RT,💗📌,1
5897,this emoji looks like sia  ,😭🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙🍙,1
14069,A need not a want..  ,🤦♂,0
2247,ik ramai yg dh cakap but srs the way u twt really makes me thinks u're a malay.  turns out i'm wrong huhu. and and i think u're a happy go lucky girl irl (?) ,😃😂😂😂,1
9884,Shame on you ,😭😭😭,1
18834,"Breaking: Zara and Mike Tindall have welcomed a son, Lucas Philip Tindall. Born on Sunday. Lovely news! A 10th great grandchild for The Queen and Duke of Edinburgh. ",👏🏼,0
10761,"[USER] I would go further &amp; want stretch it to have the power to change it in the world! Honestly, I would make ownership the exception to the rule! No! Fuck it! I’d wipe them off the planet! That’s my truth! If I had the powerthey are pure evil! Pull out the bow and arrow already ",🔥🪶,1
15542,[USER] looking  - great trousers ,😻💘😊,0
18111,serim is about to replace jungmo  i am so sorry jungmo ,🤦🏽,0
13204,[USER] [USER] he said it himself  “and when you get on he‘ll leave your ass for a white girl” ,🤷🏾♂,0
23190,grown adults with snapchat is so weird to me like  why ,🤦🏻♂,0
5996,[USER] realtobis Follow me first [USER] &amp; turn on notification  to gain 200+ daily ,🔔🤝,1
770,How about you all go fuck yourselves with your irrelevant bullshit ,🤘🏽,1
22677,[USER] So sorry  ️,🙌🏽,0
13275,️ Surprise Giveaway! ️ • $50 Dapper CreditRulesRetweet this tweet ️Follow [USER] [USER] Tag your favorite player  Ends in 24 hours! ,🤷🏿♂,0
21815,[USER] I don't even know ‍️ probably an expanded version of those weird back pages of the yearbook that talk about things that happened by year that have nothing to do with the actual school,🙏🏽,0
19025,"I got myself some fresh cinnamon buns from the bakery, can’t wait to eat them for breakfast tomorrow. That’s how you know I’m sad. Also I ordered some yummy  medjoul  dates  ",🥺❤,0
