index,tweets,emoji_sentence,follows?
50553,The dababy memes make no sense and that’s why they’re hilarious ,😭,1
74541,a year ago today i would be holding my breath for 30 seconds to check if i got corona ,🙏,0
50992,"I told my mama about how the music industry is treating Nicki.. she don’t Stan Nicki like I do but she gain so much respect for her hell she said her favorite songs from Nicki is Truffle Butter, Chun Swae, Superbass, and Champion ",💯,1
95343,[USER] [USER] Thankyou guys ,💀,0
60555,You want new SUBS? Like ️ Retweet Follow me  RT my pinned Drop your links down below,😬,0
63098,Music is why I'm here ,🤣,0
84674,It feels like this girl is doing the A-town stomp on my bladder. Like can you notttt ,😂,0
85092,[USER] You better make them a tactical and strategic two minutes or you’re fucked. ,📍💫🤍🦋,0
6434,"[USER] No- I just thought of jello scene earlier today with my Avs healing tweet, and it spiraled from there. Apologies for the rest of the game ",😂,1
24125,I think all the women on my TL are on the same page today. ,😂,1
68673,Now I’m craving oysters... ,🐧👍,0
71021, Highlights from last night’s Scottish Cup victory v Arbroath ,😭,0
47683,This right here ,🏼👇,1
69560,₱5 GIVEAWAY!! — follow me &amp; [USER]— rt when done24 hrs. goodluck mga ineng! ♡,😗,0
64726,[USER] If that were the case I would have picked the movie 'Love and War',💀,0
42971," SURPRISE GCASH — follow us + rt— like &amp; rt pinned twt[DM for promotion, NO FEES!]",💸,1
47392,[USER] NCT Resonance pt.2 any version  please ,🥺,1
16849,[USER] Trueee. Ugh. ,🙄,1
89294,As hot girl summer approaches pls make sure you’re being safe and getting tested  don’t trust just anyone with your bodies,🥺,0
2133,[USER]  and I have the most bizarre daily conversations. Im honestly concerned if anyone ever read them ,💀,1
74458,"[USER] They deserve these, such a lovely gesture   ^Lav",😦,0
72738,[USER] don't skip ur breakfast kak stay healthy n be happy!! fighting for todayy ,🏾🤷♂,0
14843,[USER] Bestie  you became famous  minions replied to you ,🥺🤗🤩💜😘😍,1
44753,Drop your handles let's follow you fast ,🎶,1
19135,??:04 | keep fighting ,🩸,1
104092,[USER] don’t stress! that’s what vods are for ,😭,0
94179,... he did it again .. also the tb photos,🤗,0
90476,"[USER] If that is the picture of health I guess I will need to eat a lot more cheese burgers, &amp; get some new bras. These few pounds of Covid weight have caused me problems all ready! At least I don't have any silicone implants, or whatever they use.",😎😁⚡,0
3483,[USER] So gorgeous  ,😍💖,1
32340,What the??? ,👀,1
71626,Single pringle sisters and their imaginary Quran reciter husband ,😞,0
18803," Better, higher paying job accepted Virginia Tech loses Ohio State losesNeed one more win tonight and a Hawkeye win tomorrow night.Best weekend in a Iong, long time is within reach.",✅,1
79247,It be so cold in the summertime ,🥲,0
34794,Amazon gave my baby a crib sized comforter set and I’m so upset  Walmart it is cause he sleeping in his bed tonight,😭,1
24047,[USER] that sounds like it hurttt ,😖,1
100729,[USER] I saw ,😭,0
77542,"[USER] i noticed this while parking at my school this morning. This is fake rt? I learned from u that the 6 shouldn’t go below the others like that. Too much 2k twitter for me, maybe?  ‍️",🥴,0
63844,Watch these sweatpants not fit right ,🙄,0
12844,[USER] only for asia server ,😕,1
90888,"[USER] i still remember it  and another one was the ""thanks for"" and i shot that shit down mad fast  ya'll are mad cute ",💔,0
92615,The different languages conversing about $zil on Twitter has risen drastically in the last few months. The world is opening their  to the silent beast. Great job getting the word out [USER] &amp; zil community.,😇❤,0
36651,[USER] hype back donk ,😗,1
94806,a hug a day . . .. . . keeps the drugs away  lol,💙,0
81484,[USER] get em next time soldier ,😹,0
79704,"[USER] I fucking love it both ways. Honestly, you’re beautiful either way. ️ You can do both lengths. Personally, I love the shorter one. It’s timeless on you. ",😢,0
90400,i wanna smoke but ion feel like rollin up ,🐹,0
